date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:05	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:51:04%20GMT	http://www.sswl.in/robots.txt		(from )
13:21:07	31183/31183	---MC-	200	added ('OK')	text/html	date:Mon,%2017%20Jan%202022%2007:51:05%20GMT	http://www.sswl.in/	C:/My%20Web%20Sites/sswlfix/www.sswl.in/index.html	(from )
13:21:08	3470/3470	---M--	200	added ('OK')	image/png	etag:%22d8e-5d278f6518780%22	http://www.sswl.in/assets/img/favicon.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/favicon.png	(from http://www.sswl.in/)
13:21:10	163873/163873	---M--	200	added ('OK')	text/css	etag:%2228021-5d148c75a7d00%22	http://www.sswl.in/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://www.sswl.in/)
13:21:10	5887/5887	---M--	200	added ('OK')	image/png	etag:%2216ff-5d27910115380%22	http://www.sswl.in/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/apple-touch-icon.png	(from http://www.sswl.in/)
13:21:12	73271/73271	---M--	200	added ('OK')	text/css	etag:%2211e37-5d148c75a7d00%22	http://www.sswl.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from http://www.sswl.in/)
13:21:13	265218/265218	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-40c02%22	http://code.jquery.com/jquery-1.8.2.js	C:/My%20Web%20Sites/sswlfix/code.jquery.com/jquery-1.8.2.js	(from http://www.sswl.in/)
13:21:13	17858/17858	---M--	200	added ('OK')	text/css	etag:%2245c2-5d5adcbee3dc0%22	http://www.sswl.in/assets/css/sswl.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/css/sswl.css	(from http://www.sswl.in/)
13:21:13	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/sswlfix/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.sswl.in/)
13:21:15	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:51:13%20GMT	http://www.sswl.in/index.html	C:/My%20Web%20Sites/sswlfix/www.sswl.in/index.b.delayed	(from http://www.sswl.in/)
